t,theta,omega,energy
0,0.785398,0,2.87328
0.001,0.785395,-0.00693671,2.87328
0.002,0.785384,-0.0138734,2.87328
0.003,0.785367,-0.0208099,2.87328
0.004,0.785343,-0.0277464,2.87328
0.005,0.785311,-0.0346826,2.87328
0.006,0.785273,-0.0416186,2.87328
0.007,0.785228,-0.0485543,2.87328
0.008,0.785176,-0.0554896,2.87328
0.009,0.785117,-0.0624246,2.87328
0.01,0.785051,-0.0693592,2.87328
0.011,0.784979,-0.0762932,2.87328
0.012,0.784899,-0.0832268,2.87328
0.013,0.784812,-0.0901597,2.87328
0.014,0.784718,-0.097092,2.87328
0.015,0.784618,-0.104024,2.87328
0.016,0.78451,-0.110955,2.87328
0.017,0.784396,-0.117885,2.87328
0.018,0.784275,-0.124814,2.87328
0.019,0.784146,-0.131743,2.87328
0.02,0.784011,-0.13867,2.87328
0.021,0.783869,-0.145597,2.87328
0.022,0.78372,-0.152522,2.87328
0.023,0.783564,-0.159447,2.87328
0.024,0.783401,-0.16637,2.87328
0.025,0.783231,-0.173293,2.87328
0.026,0.783054,-0.180214,2.87328
0.027,0.782871,-0.187133,2.87328
0.028,0.78268,-0.194052,2.87328
0.029,0.782483,-0.200969,2.87328
0.03,0.782278,-0.207885,2.87328
0.031,0.782067,-0.214799,2.87328
0.032,0.781849,-0.221712,2.87328
0.033,0.781623,-0.228623,2.87328
0.034,0.781391,-0.235533,2.87328
0.035,0.781152,-0.242441,2.87328
0.036,0.780907,-0.249347,2.87328
0.037,0.780654,-0.256252,2.87328
0.038,0.780394,-0.263155,2.87328
0.039,0.780127,-0.270056,2.87328
0.04,0.779854,-0.276955,2.87328
0.041,0.779574,-0.283852,2.87328
0.042,0.779286,-0.290747,2.87328
0.043,0.778992,-0.29764,2.87328
0.044,0.778691,-0.304532,2.87328
0.045,0.778383,-0.31142,2.87328
0.046,0.778068,-0.318307,2.87328
0.047,0.777746,-0.325192,2.87328
0.048,0.777418,-0.332074,2.87328
0.049,0.777082,-0.338954,2.87328
0.05,0.77674,-0.345832,2.87328
0.051,0.776391,-0.352707,2.87328
0.052,0.776034,-0.35958,2.87328
0.053,0.775671,-0.36645,2.87328
0.054,0.775302,-0.373317,2.87328
0.055,0.774925,-0.380182,2.87328
0.056,0.774541,-0.387045,2.87328
0.057,0.774151,-0.393904,2.87328
0.058,0.773753,-0.400761,2.87328
0.059,0.773349,-0.407615,2.87328
0.06,0.772938,-0.414467,2.87328
0.061,0.77252,-0.421315,2.87328
0.062,0.772095,-0.42816,2.87328
0.063,0.771664,-0.435002,2.87328
0.064,0.771225,-0.441842,2.87328
0.065,0.77078,-0.448678,2.87328
0.066,0.770328,-0.455511,2.87328
0.067,0.769869,-0.462341,2.87328
0.068,0.769403,-0.469167,2.87328
0.069,0.768931,-0.47599,2.87328
0.07,0.768451,-0.48281,2.87328
0.071,0.767965,-0.489627,2.87328
0.072,0.767472,-0.49644,2.87328
0.073,0.766972,-0.503249,2.87328
0.074,0.766466,-0.510055,2.87328
0.075,0.765952,-0.516858,2.87328
0.076,0.765432,-0.523656,2.87328
0.077,0.764905,-0.530451,2.87328
0.078,0.764371,-0.537242,2.87328
0.079,0.76383,-0.54403,2.87328
0.08,0.763283,-0.550813,2.87328
0.081,0.762729,-0.557593,2.87328
0.082,0.762168,-0.564369,2.87328
0.083,0.7616,-0.57114,2.87328
0.084,0.761026,-0.577908,2.87328
0.085,0.760444,-0.584672,2.87328
0.086,0.759856,-0.591431,2.87328
0.087,0.759261,-0.598186,2.87328
0.088,0.75866,-0.604937,2.87328
0.089,0.758052,-0.611684,2.87328
0.09,0.757436,-0.618426,2.87328
0.091,0.756815,-0.625164,2.87328
0.092,0.756186,-0.631897,2.87328
0.093,0.755551,-0.638626,2.87328
0.094,0.754909,-0.645351,2.87328
0.095,0.75426,-0.65207,2.87328
0.096,0.753605,-0.658785,2.87328
0.097,0.752943,-0.665496,2.87328
0.098,0.752274,-0.672201,2.87328
0.099,0.751598,-0.678902,2.87328
0.1,0.750916,-0.685598,2.87328
0.101,0.750227,-0.692289,2.87328
0.102,0.749531,-0.698975,2.87328
0.103,0.748829,-0.705656,2.87328
0.104,0.74812,-0.712332,2.87328
0.105,0.747404,-0.719003,2.87328
0.106,0.746682,-0.725668,2.87328
0.107,0.745953,-0.732329,2.87328
0.108,0.745217,-0.738984,2.87328
0.109,0.744475,-0.745634,2.87328
0.11,0.743726,-0.752278,2.87328
0.111,0.742971,-0.758917,2.87328
0.112,0.742208,-0.76555,2.87328
0.113,0.741439,-0.772178,2.87328
0.114,0.740664,-0.778801,2.87328
0.115,0.739882,-0.785418,2.87328
0.116,0.739093,-0.792029,2.87328
0.117,0.738298,-0.798634,2.87328
0.118,0.737496,-0.805233,2.87328
0.119,0.736687,-0.811827,2.87328
0.12,0.735872,-0.818415,2.87328
0.121,0.735051,-0.824997,2.87328
0.122,0.734222,-0.831573,2.87328
0.123,0.733387,-0.838142,2.87328
0.124,0.732546,-0.844706,2.87328
0.125,0.731698,-0.851263,2.87328
0.126,0.730843,-0.857815,2.87328
0.127,0.729982,-0.86436,2.87328
0.128,0.729115,-0.870898,2.87328
0.129,0.728241,-0.877431,2.87328
0.13,0.72736,-0.883957,2.87328
0.131,0.726473,-0.890476,2.87328
0.132,0.725579,-0.896989,2.87328
0.133,0.724679,-0.903495,2.87328
0.134,0.723772,-0.909995,2.87328
0.135,0.722859,-0.916488,2.87328
0.136,0.721939,-0.922974,2.87328
0.137,0.721013,-0.929454,2.87328
0.138,0.72008,-0.935926,2.87328
0.139,0.719141,-0.942392,2.87328
0.14,0.718195,-0.948851,2.87328
0.141,0.717243,-0.955302,2.87328
0.142,0.716285,-0.961747,2.87328
0.143,0.71532,-0.968185,2.87328
0.144,0.714348,-0.974615,2.87328
0.145,0.71337,-0.981038,2.87328
0.146,0.712386,-0.987454,2.87328
0.147,0.711396,-0.993863,2.87328
0.148,0.710398,-1.00026,2.87328
0.149,0.709395,-1.00666,2.87328
0.15,0.708385,-1.01304,2.87328
0.151,0.707369,-1.01942,2.87328
0.152,0.706346,-1.02579,2.87328
0.153,0.705317,-1.03216,2.87328
0.154,0.704282,-1.03851,2.87328
0.155,0.70324,-1.04486,2.87328
0.156,0.702192,-1.0512,2.87328
0.157,0.701138,-1.05753,2.87328
0.158,0.700077,-1.06386,2.87328
0.159,0.69901,-1.07017,2.87328
0.16,0.697937,-1.07648,2.87328
0.161,0.696857,-1.08278,2.87328
0.162,0.695771,-1.08907,2.87328
0.163,0.694679,-1.09536,2.87328
0.164,0.693581,-1.10163,2.87328
0.165,0.692476,-1.1079,2.87328
0.166,0.691365,-1.11416,2.87328
0.167,0.690248,-1.12041,2.87328
0.168,0.689124,-1.12665,2.87328
0.169,0.687994,-1.13289,2.87328
0.17,0.686858,-1.13911,2.87328
0.171,0.685716,-1.14533,2.87328
0.172,0.684568,-1.15154,2.87328
0.173,0.683413,-1.15773,2.87328
0.174,0.682252,-1.16392,2.87328
0.175,0.681085,-1.17011,2.87328
0.176,0.679912,-1.17628,2.87328
0.177,0.678733,-1.18244,2.87328
0.178,0.677547,-1.18859,2.87328
0.179,0.676355,-1.19474,2.87328
0.18,0.675158,-1.20088,2.87328
0.181,0.673954,-1.207,2.87328
0.182,0.672744,-1.21312,2.87328
0.183,0.671527,-1.21923,2.87328
0.184,0.670305,-1.22533,2.87328
0.185,0.669077,-1.23142,2.87328
0.186,0.667842,-1.2375,2.87328
0.187,0.666602,-1.24357,2.87328
0.188,0.665355,-1.24963,2.87328
0.189,0.664102,-1.25568,2.87328
0.19,0.662844,-1.26172,2.87328
0.191,0.661579,-1.26775,2.87328
0.192,0.660308,-1.27378,2.87328
0.193,0.659031,-1.27979,2.87328
0.194,0.657749,-1.28579,2.87328
0.195,0.65646,-1.29178,2.87328
0.196,0.655165,-1.29776,2.87328
0.197,0.653864,-1.30374,2.87328
0.198,0.652558,-1.3097,2.87328
0.199,0.651245,-1.31565,2.87328
0.2,0.649926,-1.32159,2.87328
0.201,0.648602,-1.32752,2.87328
0.202,0.647271,-1.33344,2.87328
0.203,0.645935,-1.33935,2.87328
0.204,0.644593,-1.34525,2.87328
0.205,0.643244,-1.35114,2.87328
